id_alerta;nivel_alerta;data_hora_inicio;data_hora_fim;duracao_min;fk_leitura
1;baixo;01/07/2025 13:00;01/07/2025 14:31;910;4
2;baixo;09/07/2025 17:00;09/07/2025 17:59;590;5
3;baixo;19/08/2025 06:00;19/08/2025 06:45;450;7
4;baixo;09/07/2025 14:00;09/07/2025 18:02;2420;8
5;baixo;15/08/2025 06:00;15/08/2025 08:55;1750;19
6;baixo;27/07/2025 05:00;27/07/2025 07:13;1330;20
7;critico ;25/08/2025 10:00;25/08/2025 14:34;2740;23
8;baixo;22/07/2025 05:00;22/07/2025 09:44;2840;29
9;baixo;08/07/2025 23:00;09/07/2025 01:11;1310;31
10;medio;15/08/2025 07:00;15/08/2025 11:30;2700;35
11;baixo;04/08/2025 10:00;04/08/2025 12:16;1360;36
12;baixo;21/07/2025 20:00;21/07/2025 21:30;900;40
13;baixo;15/08/2025 03:00;;;41
14;baixo;17/08/2025 05:00;17/08/2025 07:34;1540;42
15;baixo;13/08/2025 03:00;13/08/2025 03:36;360;43
16;critico ;16/07/2025 02:00;16/07/2025 02:22;220;48
17;baixo;22/07/2025 04:00;22/07/2025 05:05;650;49
18;medio;30/07/2025 20:00;30/07/2025 22:06;1260;50
19;baixo;24/07/2025 19:00;24/07/2025 23:30;2700;51
20;baixo;26/07/2025 15:00;26/07/2025 18:39;2190;56
21;medio;14/08/2025 04:00;14/08/2025 08:55;2950;63
22;baixo;11/08/2025 08:00;11/08/2025 10:30;1500;66
23;medio;04/07/2025 10:00;04/07/2025 12:16;1360;76
24;baixo;21/07/2025 17:00;21/07/2025 19:44;1640;80
25;medio;24/08/2025 05:00;24/08/2025 09:05;2450;82
26;baixo;16/07/2025 19:00;16/07/2025 23:17;2570;91
27;medio;22/07/2025 13:00;22/07/2025 17:14;2540;95
28;baixo;21/08/2025 17:00;21/08/2025 19:05;1250;97
29;baixo;07/07/2025 01:00;07/07/2025 03:25;1450;101
30;medio;07/08/2025 09:00;07/08/2025 13:18;2580;112
31;critico ;21/07/2025 19:00;21/07/2025 20:24;840;115
32;baixo;24/07/2025 13:00;24/07/2025 16:42;2220;116
33;baixo;16/08/2025 04:00;;;124
34;medio;20/08/2025 03:00;20/08/2025 06:47;2270;130
35;baixo;10/07/2025 02:00;10/07/2025 05:13;1930;131
36;baixo;28/08/2025 02:00;28/08/2025 02:59;590;134
37;baixo;01/08/2025 05:00;01/08/2025 07:29;1490;136
38;baixo;02/07/2025 04:00;02/07/2025 05:13;730;138
39;baixo;22/08/2025 12:00;22/08/2025 14:33;1530;143
40;medio;31/07/2025 22:00;01/08/2025 01:18;1980;144
41;critico ;05/07/2025 07:00;05/07/2025 09:14;1340;146
42;baixo;21/07/2025 07:00;21/07/2025 07:18;180;149
43;baixo;18/08/2025 23:00;19/08/2025 02:49;2290;161
44;baixo;23/07/2025 19:00;;;162
45;baixo;19/08/2025 03:00;19/08/2025 06:37;2170;172
46;medio;30/07/2025 19:00;30/07/2025 20:25;850;176
47;baixo;08/08/2025 07:00;08/08/2025 11:59;2990;178
48;baixo;22/08/2025 17:00;22/08/2025 20:22;2020;190
49;baixo;15/07/2025 03:00;15/07/2025 03:32;320;191
50;baixo;08/08/2025 07:00;08/08/2025 09:12;1320;192
51;baixo;21/08/2025 14:00;21/08/2025 16:18;1380;194
52;baixo;04/07/2025 17:00;04/07/2025 20:21;2010;205
53;baixo;27/07/2025 22:00;28/07/2025 02:33;2730;209
54;medio;14/08/2025 07:00;14/08/2025 07:52;520;212
55;medio;11/07/2025 01:00;11/07/2025 03:23;1430;220
56;medio;28/07/2025 06:00;28/07/2025 06:43;430;222
57;medio;05/07/2025 17:00;05/07/2025 21:35;2750;228
58;baixo;07/07/2025 22:00;;;232
59;baixo;04/08/2025 15:00;04/08/2025 15:47;470;234
60;medio;27/07/2025 16:00;27/07/2025 17:31;910;238
61;baixo;29/07/2025 22:00;30/07/2025 01:17;1970;244
62;medio;19/08/2025 08:00;19/08/2025 08:36;360;249
63;baixo;06/07/2025 07:00;06/07/2025 11:35;2750;252
64;baixo;28/08/2025 02:00;28/08/2025 04:25;1450;254
65;medio;25/08/2025 23:00;26/08/2025 03:15;2550;258
66;baixo;25/07/2025 12:00;25/07/2025 12:40;400;262
67;baixo;04/07/2025 04:00;04/07/2025 05:39;990;263
68;medio;29/07/2025 14:00;29/07/2025 18:48;2880;265
69;medio;30/08/2025 00:00;30/08/2025 01:10;700;271
70;baixo;19/07/2025 15:00;19/07/2025 15:51;510;273
71;medio;10/07/2025 13:00;;;274
72;baixo;02/07/2025 22:00;03/07/2025 02:07;2470;282
73;baixo;05/07/2025 09:00;05/07/2025 09:30;300;293
74;medio;26/07/2025 20:00;26/07/2025 20:17;170;294
