id_leitura;valor;data_hora_leitura;alerta_gerado;fk_sensor
147;39.32;2025-07-20 21:00:00;Nao;1
199;51.56;2025-08-10 00:00:00;Nao;2
38;58.73;2025-08-09 00:00:00;Nao;3
86;1.4;2025-08-20 20:00:00;Nao;4
269;46.8;2025-07-23 18:00:00;Nao;5
15;1.91;2025-08-09 22:00:00;Nao;6
205;84.0;2025-07-04 17:00:00;Sim;7
171;1.77;2025-08-03 21:00:00;Nao;8
139;1.86;2025-08-27 14:00:00;Nao;9
148;16.5;2025-07-22 09:00:00;Nao;10
161;5.25;2025-08-18 23:00:00;Sim;11
248;43.69;2025-08-05 13:00:00;Nao;12
217;58.71;2025-07-31 21:00:00;Nao;13
45;40.07;2025-08-28 23:00:00;Nao;14
263;126.0;2025-07-04 04:00:00;Sim;15
120;59.42;2025-08-25 15:00:00;Nao;16
52;58.52;2025-07-16 05:00:00;Nao;17
198;62.88;2025-07-29 14:00:00;Nao;18
36;84.0;2025-08-04 10:00:00;Sim;19
106;57.54;2025-08-27 08:00:00;Nao;20
80;5.25;2025-07-21 17:00:00;Sim;21
214;0.83;2025-08-07 21:00:00;Nao;22
285;3.36;2025-07-05 03:00:00;Nao;23
241;54.12;2025-08-01 05:00:00;Nao;24
34;64.14;2025-07-06 04:00:00;Nao;25
30;75.4;2025-08-07 19:00:00;Nao;26
149;84.0;2025-07-21 07:00:00;Sim;27
165;39.46;2025-08-18 10:00:00;Nao;28
102;28.94;2025-07-23 16:00:00;Nao;29
278;34.08;2025-07-30 09:00:00;Nao;30
201;34.31;2025-08-24 12:00:00;Nao;31
153;110.93;2025-07-28 11:00:00;Nao;32
284;48.3;2025-07-02 08:00:00;Nao;33
35;6.0;2025-08-15 07:00:00;Sim;34
24;53.24;2025-08-20 05:00:00;Nao;35
99;37.31;2025-07-21 11:00:00;Nao;36
127;53.96;2025-07-16 08:00:00;Nao;37
104;36.33;2025-08-16 01:00:00;Nao;38
182;116.2;2025-08-08 10:00:00;Nao;39
186;1.75;2025-08-25 23:00:00;Nao;40
96;23.22;2025-07-13 17:00:00;Nao;41
20;63.0;2025-07-27 05:00:00;Sim;42
109;2.0;2025-08-16 22:00:00;Nao;43
180;22.26;2025-08-01 11:00:00;Nao;44
157;1.87;2025-07-14 00:00:00;Nao;45
230;41.27;2025-07-26 20:00:00;Nao;46
156;1.69;2025-08-08 16:00:00;Nao;47
98;45.73;2025-08-18 12:00:00;Nao;48
1;54.75;2025-07-20 01:00:00;Nao;49
41;63.0;2025-08-15 03:00:00;Sim;50
152;33.95;2025-08-04 06:00:00;Nao;51
78;64.88;2025-07-10 18:00:00;Nao;52
250;105.71;2025-07-13 14:00:00;Nao;53
200;28.97;2025-08-21 22:00:00;Nao;54
19;5.25;2025-08-15 06:00:00;Sim;55
283;27.31;2025-07-24 12:00:00;Sim;56
175;100.12;2025-07-07 12:00:00;Nao;57
172;63.0;2025-08-19 03:00:00;Sim;58
53;3.93;2025-08-07 05:00:00;Nao;59
141;28.39;2025-07-04 04:00:00;Sim;60
294;96.0;2025-07-26 20:00:00;Sim;61
90;52.63;2025-07-11 07:00:00;Nao;62
236;53.7;2025-07-28 05:00:00;Nao;63
210;37.17;2025-07-05 01:00:00;Nao;64
93;34.1;2025-07-05 15:00:00;Nao;65
281;46.06;2025-08-15 20:00:00;Nao;66
243;119.02;2025-08-28 01:00:00;Nao;67
265;144.0;2025-07-29 14:00:00;Sim;68
218;42.26;2025-08-07 21:00:00;Nao;69
12;112.31;2025-08-09 03:00:00;Nao;70
163;0.72;2025-08-26 02:00:00;Nao;71
176;6.0;2025-07-30 19:00:00;Sim;72
76;96.0;2025-07-04 10:00:00;Sim;73
142;43.32;2025-08-01 15:00:00;Nao;74
47;61.83;2025-08-17 18:00:00;Nao;75
183;93.69;2025-08-07 11:00:00;Nao;76
270;35.59;2025-07-11 02:00:00;Nao;77
14;34.68;2025-07-05 00:00:00;Nao;78
195;4.23;2025-07-11 15:00:00;Nao;79
228;6.0;2025-07-05 17:00:00;Sim;80
125;38.86;2025-08-24 01:00:00;Nao;81
249;6.0;2025-08-19 08:00:00;Sim;82
9;76.2;2025-08-25 07:00:00;Sim;83
288;30.68;2025-07-24 11:00:00;Nao;84
82;96.0;2025-08-24 05:00:00;Sim;85
190;126.0;2025-08-22 17:00:00;Sim;86
227;51.04;2025-07-11 22:00:00;Nao;87
219;1.39;2025-07-10 16:00:00;Nao;88
203;56.89;2025-07-21 12:00:00;Nao;89
181;2.9;2025-07-04 12:00:00;Nao;90
118;3.81;2025-08-02 04:00:00;Nao;91
33;63.83;2025-08-17 10:00:00;Nao;92
188;0.9;2025-07-19 06:00:00;Nao;93
254;126.0;2025-08-28 02:00:00;Sim;94
50;96.0;2025-07-30 20:00:00;Sim;95
192;126.0;2025-08-08 07:00:00;Sim;96
61;48.51;2025-07-07 05:00:00;Nao;97
101;84.0;2025-07-07 01:00:00;Sim;98
79;60.64;2025-08-02 00:00:00;Nao;99
60;103.66;2025-07-21 01:00:00;Nao;100
22;56.4;2025-07-19 01:00:00;Nao;101
208;62.96;2025-08-09 01:00:00;Nao;102
274;6.0;2025-07-10 13:00:00;Sim;103
111;1.81;2025-08-12 12:00:00;Nao;104
146;180.0;2025-07-05 07:00:00;Sim;105
275;4.27;2025-08-07 16:00:00;Nao;106
255;76.49;2025-07-26 09:00:00;Nao;107
232;84.0;2025-07-07 22:00:00;Sim;108
145;0.61;2025-08-08 19:00:00;Nao;109
155;0.5;2025-08-29 21:00:00;Nao;110
293;5.25;2025-07-05 09:00:00;Sim;111
2;83.14;2025-07-03 17:00:00;Nao;112
3;0.99;2025-08-25 10:00:00;Nao;113
168;49.2;2025-08-26 22:00:00;Nao;114
271;144.0;2025-08-30 00:00:00;Sim;115
75;21.16;2025-08-16 00:00:00;Nao;116
197;1.87;2025-08-02 22:00:00;Nao;117
290;1.88;2025-08-15 21:00:00;Nao;118
7;126.0;2025-08-19 06:00:00;Nao;119
105;39.34;2025-07-22 08:00:00;Nao;120
170;45.84;2025-07-12 00:00:00;Nao;121
262;126.0;2025-07-25 12:00:00;Sim;122
191;126.0;2025-07-15 03:00:00;Sim;123
25;111.49;2025-07-29 04:00:00;Nao;124
112;6.0;2025-08-07 09:00:00;Sim;125
295;22.13;2025-08-21 13:00:00;Nao;126
239;14.5;2025-08-03 13:00:00;Nao;127
202;36.8;2025-08-23 22:00:00;Nao;128
259;16.86;2025-08-22 12:00:00;Nao;129
26;41.91;2025-08-18 17:00:00;Nao;130
88;31.55;2025-07-26 02:00:00;Nao;131
84;1.23;2025-07-08 09:00:00;Nao;132
65;54.86;2025-08-10 12:00:00;Nao;133
23;120.0;2025-08-25 10:00:00;Sim;134
237;0.25;2025-08-02 18:00:00;Nao;135
229;40.76;2025-08-14 06:00:00;Nao;136
133;102.17;2025-07-19 16:00:00;Nao;137
277;2.31;2025-07-27 07:00:00;Nao;138
77;53.84;2025-07-19 14:00:00;Nao;139
266;0.56;2025-07-14 20:00:00;Nao;140
296;47.98;2025-08-25 08:00:00;Nao;141
138;5.25;2025-07-02 04:00:00;Sim;142
5;84.0;2025-07-09 17:00:00;Sim;143
122;88.93;2025-07-14 04:00:00;Nao;144
39;39.0;2025-08-15 21:00:00;Nao;145
32;23.52;2025-08-02 08:00:00;Nao;146
116;63.0;2025-07-24 13:00:00;Sim;147
114;113.94;2025-07-25 21:00:00;Nao;148
4;5.25;2025-07-01 13:00:00;Nao;149
74;32.7;2025-07-28 21:00:00;Nao;150
220;6.0;2025-07-11 01:00:00;Sim;151
66;84.0;2025-08-11 08:00:00;Sim;152
124;126.0;2025-08-16 04:00:00;Sim;153
257;27.26;2025-07-13 11:00:00;Nao;154
100;55.63;2025-07-25 20:00:00;Nao;155
286;3.77;2025-07-05 19:00:00;Nao;156
169;20.22;2025-07-19 00:00:00;Nao;157
222;72.0;2025-07-28 06:00:00;Sim;158
6;117.58;2025-08-02 07:00:00;Nao;159
16;78.33;2025-07-23 18:00:00;Nao;160
131;63.0;2025-07-10 02:00:00;Sim;161
213;24.69;2025-07-09 18:00:00;Nao;162
56;84.0;2025-07-26 15:00:00;Sim;163
264;97.41;2025-07-25 16:00:00;Nao;164
247;60.27;2025-08-13 11:00:00;Nao;165
57;76.42;2025-08-27 19:00:00;Nao;166
287;25.95;2025-08-21 00:00:00;Nao;167
233;2.49;2025-08-23 12:00:00;Nao;168
130;96.0;2025-08-20 03:00:00;Sim;169
92;31.65;2025-07-20 09:00:00;Nao;170
40;63.0;2025-07-21 20:00:00;Sim;171
162;63.0;2025-07-23 19:00:00;Sim;172
159;59.92;2025-08-06 02:00:00;Nao;173
37;53.91;2025-07-27 23:00:00;Nao;174
11;38.93;2025-07-23 20:00:00;Nao;175
178;126.0;2025-08-08 07:00:00;Sim;176
123;37.23;2025-07-29 00:00:00;Nao;177
226;99.22;2025-08-19 01:00:00;Nao;178
289;34.22;2025-07-30 09:00:00;Nao;179
58;1.43;2025-08-06 16:00:00;Nao;180
268;3.35;2025-07-16 18:00:00;Nao;181
10;64.15;2025-08-24 14:00:00;Nao;182
252;63.0;2025-07-06 07:00:00;Sim;183
158;64.33;2025-07-12 02:00:00;Nao;184
55;90.36;2025-08-01 01:00:00;Nao;185
260;87.42;2025-07-05 11:00:00;Nao;186
89;79.81;2025-07-30 08:00:00;Nao;187
48;90.0;2025-07-16 02:00:00;Sim;188
206;95.96;2025-08-23 14:00:00;Nao;189
185;43.19;2025-07-22 12:00:00;Nao;190
184;2.04;2025-07-29 20:00:00;Nao;191
71;23.65;2025-08-11 10:00:00;Nao;192
299;42.79;2025-07-21 23:00:00;Nao;193
231;82.26;2025-07-15 14:00:00;Nao;194
42;84.0;2025-08-17 05:00:00;Sim;195
235;3.03;2025-07-27 16:00:00;Nao;196
196;4.16;2025-07-08 19:00:00;Nao;197
160;29.28;2025-08-11 03:00:00;Nao;198
179;3.16;2025-07-24 10:00:00;Nao;199
300;95.12;2025-08-11 20:00:00;Nao;200
46;0.64;2025-07-27 07:00:00;Nao;201
144;6.0;2025-07-31 22:00:00;Sim;202
173;68.08;2025-08-22 17:00:00;Nao;203
13;97.23;2025-08-06 13:00:00;Nao;204
224;28.33;2025-08-12 03:00:00;Nao;205
8;63.0;2025-07-09 14:00:00;Sim;206
143;126.0;2025-08-22 12:00:00;Sim;207
297;0.49;2025-08-10 01:00:00;Nao;208
292;1.27;2025-07-29 04:00:00;Nao;209
18;41.95;2025-08-21 23:00:00;Nao;210
126;39.46;2025-07-05 18:00:00;Nao;211
69;74.29;2025-08-19 20:00:00;Nao;212
67;52.41;2025-07-12 19:00:00;Nao;213
246;59.52;2025-08-22 07:00:00;Nao;214
174;2.18;2025-08-04 04:00:00;Nao;215
137;40.37;2025-07-07 10:00:00;Nao;216
225;40.6;2025-07-08 08:00:00;Nao;217
95;96.0;2025-07-22 13:00:00;Sim;218
28;42.67;2025-08-25 03:00:00;Nao;219
267;67.45;2025-08-18 10:00:00;Nao;220
215;59.91;2025-07-24 10:00:00;Nao;221
27;14.85;2025-08-06 18:00:00;Nao;222
108;1.61;2025-07-09 22:00:00;Nao;223
135;0.45;2025-07-26 04:00:00;Nao;224
68;44.89;2025-07-29 05:00:00;Nao;225
291;33.15;2025-07-05 22:00:00;Nao;226
298;1.11;2025-07-13 10:00:00;Nao;227
81;0.34;2025-08-25 06:00:00;Nao;228
279;24.35;2025-07-16 08:00:00;Nao;229
29;84.0;2025-07-22 05:00:00;Sim;230
187;1.64;2025-07-11 21:00:00;Nao;231
43;126.0;2025-08-13 03:00:00;Sim;232
166;60.44;2025-07-24 05:00:00;Nao;233
62;51.96;2025-08-25 23:00:00;Nao;234
167;49.4;2025-08-13 17:00:00;Nao;235
212;6.0;2025-08-14 07:00:00;Sim;236
83;3.08;2025-08-15 22:00:00;Nao;237
216;0.8;2025-07-03 15:00:00;Nao;238
234;84.0;2025-08-04 15:00:00;Sim;239
134;126.0;2025-08-28 02:00:00;Sim;240
44;27.85;2025-07-23 08:00:00;Nao;241
221;16.13;2025-07-07 07:00:00;Nao;242
117;55.22;2025-08-26 07:00:00;Nao;243
97;84.0;2025-08-21 17:00:00;Sim;244
164;97.15;2025-07-19 08:00:00;Nao;245
63;96.0;2025-08-14 04:00:00;Sim;246
121;4.35;2025-08-07 13:00:00;Nao;247
245;0.69;2025-07-29 10:00:00;Nao;248
151;76.72;2025-07-04 16:00:00;Nao;249
128;22.04;2025-08-19 18:00:00;Nao;250
113;53.14;2025-07-08 22:00:00;Nao;251
73;43.15;2025-07-08 03:00:00;Nao;252
140;55.76;2025-07-19 21:00:00;Nao;253
238;72.0;2025-07-27 16:00:00;Sim;254
103;104.18;2025-07-25 15:00:00;Nao;255
49;63.0;2025-07-22 04:00:00;Sim;256
119;71.36;2025-08-05 01:00:00;Nao;257
209;126.0;2025-07-27 22:00:00;Sim;258
21;3.8;2025-07-11 17:00:00;Nao;259
261;0.69;2025-08-16 23:00:00;Nao;260
87;46.0;2025-08-11 16:00:00;Nao;261
207;68.81;2025-07-15 22:00:00;Nao;262
94;53.64;2025-08-18 23:00:00;Nao;263
194;63.0;2025-08-21 14:00:00;Sim;264
136;84.0;2025-08-01 05:00:00;Sim;265
31;63.0;2025-07-08 23:00:00;Sim;266
85;1.68;2025-08-12 04:00:00;Nao;267
107;4.58;2025-07-16 11:00:00;Nao;268
177;65.61;2025-08-25 22:00:00;Nao;269
211;2.2;2025-08-02 23:00:00;Sim;270
132;23.72;2025-08-18 07:00:00;Nao;271
251;29.09;2025-08-28 22:00:00;Nao;272
242;41.75;2025-07-25 15:00:00;Nao;273
64;59.39;2025-08-20 19:00:00;Nao;274
204;62.45;2025-08-14 21:00:00;Nao;275
17;63.33;2025-07-23 11:00:00;Nao;276
115;90.0;2025-07-21 19:00:00;Sim;277
223;56.37;2025-08-24 10:00:00;Nao;278
244;5.25;2025-07-29 22:00:00;Sim;279
150;97.11;2025-08-10 15:00:00;Nao;280
276;2.55;2025-07-05 17:00:00;Nao;281
59;2.56;2025-07-15 11:00:00;Nao;282
